"timestamp,aqi,pm2_5,pm10,temperature,humidity,wind_speed",timestamp,aqi,pm2_5,pm10,temperature,humidity,wind_speed
"2024-10-15 01:00:43,4.0,58.58,84.51,28.9,51,2.06",,,,,,,
,2024-12-20 05:11:38,5.0,136.02,167.88,10.9,43.0,3.09
,2024-12-20 10:11:38,5.0,153.93,206.13,20.9,23.0,1.54
,2024-12-20 15:11:38,4.0,60.06,87.12,24.9,13.0,5.14
,2024-12-20 20:11:38,5.0,150.21,193.09,16.9,22.0,3.09
,2024-12-21 01:11:38,5.0,106.04,134.26,13.9,26.0,1.54
,2024-12-21 06:11:38,5.0,118.92,148.88,8.9,49.0,3.09
,2024-12-21 11:11:38,4.0,74.52,100.05,20.9,18.0,5.14
,2024-12-21 16:11:38,3.0,47.38,69.01,24.9,13.0,3.6
,2024-12-21 21:11:38,5.0,129.58,173.63,13.9,33.0,2.06
,2024-12-22 02:11:38,5.0,99.24,128.16,14.9,33.0,2.57
,2024-12-22 07:11:38,5.0,154.97,195.99,10.9,43.0,0.0
,2024-12-22 12:11:38,4.0,69.27,95.05,23.9,25.0,2.06
,2024-12-22 17:11:38,3.0,30.18,52.7,22.9,33.0,3.6
,2024-12-22 22:11:38,5.0,151.16,196.94,16.9,55.0,3.09
,2024-12-23 03:11:38,5.0,218.67,280.36,12.9,54.0,2.06
,2024-12-23 08:11:38,5.0,265.53,348.94,13.9,51.0,1.54
,2024-12-23 13:11:38,5.0,230.38,305.55,24.9,33.0,0.0
,2024-12-23 18:11:38,5.0,117.7,174.47,20.9,49.0,3.09
,2024-12-23 23:11:38,5.0,278.19,378.61,14.9,44.0,2.06
,2024-12-24 04:11:38,5.0,81.6,107.83,12.9,38.0,4.12
,2024-12-24 09:11:38,5.0,148.25,197.41,16.9,48.0,5.14
,2024-12-24 14:11:38,5.0,76.09,95.44,22.9,31.0,8.23
,2024-12-24 19:11:38,5.0,121.69,146.04,17.9,39.0,5.14
,2024-12-25 00:11:38,5.0,131.3,160.54,14.9,44.0,2.06
,2024-12-25 05:11:38,5.0,134.02,164.78,13.9,38.0,2.06
,2024-12-25 10:11:38,5.0,149.98,192.84,18.9,32.0,3.09
,2024-12-25 15:11:38,5.0,78.36,99.74,23.9,19.0,8.23
,2024-12-25 20:11:38,5.0,126.98,158.08,17.9,32.0,4.12
,2024-12-26 01:11:38,5.0,118.59,147.37,10.9,58.0,3.09
,2024-12-26 06:11:38,5.0,134.17,171.92,12.9,44.0,2.06
,2024-12-26 11:11:38,5.0,124.97,153.04,20.9,26.0,3.6
,2024-12-26 16:11:38,4.0,64.62,81.34,23.9,15.0,5.14
,2024-12-26 21:11:38,5.0,128.36,164.0,15.9,36.0,3.09
,2024-12-27 02:11:38,5.0,112.87,141.76,13.9,35.0,2.57
,2024-12-27 07:11:38,5.0,199.07,240.54,11.9,40.0,1.54
,2024-12-27 12:11:38,5.0,188.33,238.63,23.9,15.0,2.06
,2024-12-27 17:11:38,5.0,189.27,244.78,21.9,33.0,3.6
,2024-12-27 22:11:38,5.0,487.5,622.34,14.9,41.0,2.06
,2024-12-28 03:11:38,5.0,98.61,132.98,9.9,34.0,2.57
,2024-12-28 08:11:38,5.0,213.69,274.25,10.9,35.0,2.57
,2024-12-28 13:11:38,5.0,175.74,226.05,24.9,16.0,1.54
,2024-12-28 18:11:38,4.0,55.12,97.24,19.9,42.0,2.06
,2024-12-28 23:11:38,5.0,199.52,255.73,13.9,62.0,2.57
,2024-12-29 04:11:38,5.0,116.49,174.51,9.9,62.0,3.6
,2024-12-29 09:11:38,5.0,226.39,321.41,16.9,31.0,2.57
,2024-12-29 14:11:38,4.0,52.62,95.36,24.9,13.0,3.09
,2024-12-29 19:11:38,5.0,81.5,138.8,16.9,27.0,5.14
,2024-12-30 00:11:38,5.0,80.32,131.91,14.9,31.0,2.57
,2024-12-30 05:11:38,4.0,73.25,125.78,11.9,35.0,2.06
,2024-12-30 10:11:38,5.0,136.1,227.39,20.9,28.0,4.12
,2024-12-30 15:11:38,5.0,86.02,135.62,25.9,14.0,2.06
,2024-12-30 20:11:38,5.0,318.38,414.81,17.9,45.0,1.54
,2024-12-31 01:11:38,5.0,203.83,297.45,13.9,44.0,3.09
,2024-12-31 06:11:38,5.0,162.01,220.94,9.9,62.0,2.06
,2024-12-31 11:11:38,5.0,152.22,215.56,23.9,22.0,5.14
,2024-12-31 16:11:38,5.0,189.7,268.42,25.9,14.0,2.06
,2024-12-31 21:11:38,5.0,529.25,663.85,16.9,34.0,2.57
,2025-01-01 02:11:38,5.0,130.58,190.21,12.9,47.0,1.54
,2025-01-01 07:11:38,5.0,158.69,214.13,12.9,50.0,3.09
,2025-01-01 12:11:38,5.0,149.43,226.28,23.9,25.0,4.12
,2025-01-01 17:11:38,5.0,133.4,215.62,24.9,20.0,2.06
,2025-01-01 22:11:38,5.0,203.57,312.09,16.9,36.0,3.09
,2025-01-02 03:11:38,5.0,154.01,211.54,12.9,62.0,1.54
,2025-01-02 08:11:38,5.0,263.07,343.19,14.9,55.0,1.54
,2025-01-02 13:11:38,5.0,212.91,299.07,24.9,20.0,2.06
,2025-01-02 18:11:38,5.0,477.05,599.69,20.9,32.0,2.06
,2025-01-02 23:11:38,5.0,724.47,857.26,14.9,55.0,2.06
,2025-01-03 04:11:38,5.0,219.11,313.66,11.9,58.0,2.06
,2025-01-03 09:11:38,5.0,452.7,581.24,16.9,55.0,2.57
,2025-01-03 14:11:38,5.0,221.1,278.78,25.9,34.0,1.54
,2025-01-03 19:11:38,5.0,117.6,149.55,22.9,46.0,3.09
,2025-01-04 00:11:38,5.0,147.55,185.93,14.9,77.0,2.57
,2025-01-04 05:11:38,3.0,30.48,47.55,17.9,72.0,2.06
,2025-01-04 10:11:38,5.0,95.6,138.29,21.9,35.0,3.09
,2025-01-04 15:11:38,3.0,12.38,23.24,23.4,28.0,6.26
,2025-01-04 20:11:38,3.0,27.8,45.4,19.9,37.0,1.54
,2025-01-05 01:11:38,5.0,75.49,100.48,13.9,51.0,1.03
,2025-01-05 06:11:38,5.0,112.18,150.63,11.9,66.0,3.09
,2025-01-05 11:11:38,5.0,115.87,161.57,22.9,27.0,2.06
,2025-01-05 16:11:38,4.0,44.45,66.53,23.9,23.0,4.12
,2025-01-05 21:11:38,5.0,144.03,178.93,14.9,47.0,0.0
,2025-01-06 02:11:38,5.0,98.64,141.3,9.9,66.0,1.54
,2025-01-06 12:11:38,5.0,77.79,114.02,23.65,14.0,1.66
,2025-01-06 17:11:38,4.0,51.09,79.01,24.9,11.0,2.06
,2025-01-06 22:11:38,5.0,122.36,177.33,14.9,29.0,2.06
,2025-01-07 03:11:38,3.0,42.45,66.23,8.9,46.0,3.09
,2025-01-07 08:11:38,5.0,168.2,220.38,12.9,26.0,3.09
,2025-01-07 13:11:38,4.0,48.46,77.57,24.9,12.0,3.09
,2025-01-07 18:11:38,5.0,141.24,193.63,20.9,17.0,2.57
,2025-01-07 23:11:38,5.0,234.08,328.16,9.9,43.0,1.03
,2025-01-08 04:11:38,5.0,139.06,188.9,7.9,49.0,2.57
,2025-01-08 09:11:38,5.0,468.73,576.31,15.9,29.0,1.03
,2025-01-08 14:11:38,5.0,487.92,608.7,25.9,13.0,1.54
,2025-01-08 19:11:38,4.0,71.2,103.14,17.9,48.0,2.06
,2025-01-09 00:11:38,5.0,254.6,300.09,11.9,62.0,2.57
,2025-01-09 05:11:38,5.0,194.5,244.21,9.9,71.0,4.12
,2025-01-09 10:11:38,5.0,394.93,537.95,21.9,28.0,3.09
,2025-01-09 15:11:38,5.0,219.15,312.31,25.9,17.0,3.6
,2025-01-09 20:11:38,5.0,380.53,505.39,15.9,41.0,3.09
,2025-01-10 01:11:38,5.0,388.58,482.66,14.9,41.0,2.57
,2025-01-10 06:11:38,5.0,248.07,301.64,13.9,44.0,2.57
,2025-01-10 11:11:38,5.0,244.35,309.09,24.9,22.0,3.09
,2025-01-10 16:11:38,5.0,91.11,128.77,25.9,19.0,2.57
,2025-01-10 21:11:38,5.0,239.09,290.56,17.9,36.0,1.54
,2025-01-11 02:11:38,5.0,218.15,307.61,12.9,54.0,2.06
,2025-01-11 07:11:38,5.0,276.05,359.19,11.9,54.0,2.57
,2025-01-11 12:11:38,5.0,163.48,224.77,25.9,18.0,2.06
,2025-01-11 17:11:38,4.0,67.54,150.77,22.9,43.0,3.09
,2025-01-11 22:11:38,5.0,336.51,416.96,14.9,72.0,3.09
,2025-01-12 03:11:38,5.0,119.51,166.56,9.9,62.0,2.06
,2025-01-12 08:11:38,5.0,284.6,358.67,13.9,35.0,2.06
,2025-01-12 13:11:38,5.0,80.29,120.59,24.9,19.0,2.06
,2025-01-12 18:11:38,5.0,84.16,125.27,22.9,20.0,4.63
,2025-01-12 23:11:38,5.0,124.99,165.41,12.9,50.0,2.57
,2025-01-13 04:11:38,5.0,132.22,173.28,13.9,51.0,2.06
,2025-01-13 09:11:38,5.0,175.24,225.09,15.9,48.0,3.09
,2025-01-13 14:11:38,5.0,79.35,109.28,23.9,25.0,6.17
,2025-01-13 19:11:38,5.0,98.37,134.59,17.9,39.0,2.06
,2025-01-14 00:11:38,5.0,109.0,142.54,13.9,62.0,2.06
,2025-01-14 05:11:38,5.0,90.95,124.84,8.9,76.0,2.06
,2025-01-14 10:11:38,5.0,161.12,244.02,17.9,52.0,4.12
,2025-01-14 15:11:38,5.0,90.88,125.93,24.9,33.0,2.06
,2025-01-14 20:11:38,5.0,161.91,199.69,16.9,59.0,1.54
,2025-01-15 01:11:38,5.0,157.71,225.72,13.9,62.0,3.09
,2025-01-15 06:11:38,5.0,138.61,195.9,10.9,71.0,3.09
,2025-01-15 11:11:38,5.0,125.75,185.85,22.9,31.0,3.09
,2025-01-15 16:11:38,4.0,57.75,92.95,24.9,31.0,2.06
,2025-01-15 21:11:38,5.0,344.58,418.29,16.9,59.0,1.54
,2025-01-16 02:11:38,5.0,166.58,226.93,14.9,55.0,3.09
,2025-01-16 07:11:38,5.0,281.58,358.43,11.9,66.0,2.57
,2025-01-16 12:11:38,5.0,350.1,433.49,24.9,22.0,4.63
,2025-01-16 17:11:38,5.0,128.76,183.22,21.9,35.0,1.54
,2025-01-16 22:11:38,5.0,583.17,703.26,14.9,55.0,1.54
,2025-01-17 03:11:38,5.0,172.02,230.95,13.9,47.0,2.06
,2025-01-17 08:11:38,5.0,221.99,284.42,16.9,34.0,2.57
,2025-01-17 13:11:38,3.0,36.59,70.72,23.9,22.0,8.23
,2025-01-17 18:11:38,3.0,47.15,89.89,20.9,23.0,4.12
,2025-01-17 23:11:38,5.0,96.04,163.82,16.9,39.0,4.12
,2025-01-18 04:11:38,5.0,94.2,150.52,14.9,51.0,5.66
,2025-01-18 09:11:38,5.0,112.25,168.97,18.9,37.0,4.12
,2025-01-18 14:11:38,5.0,82.47,119.4,24.9,20.0,4.12
,2025-01-18 19:11:38,5.0,113.94,161.69,18.9,30.0,3.09
,2025-01-19 00:11:38,5.0,119.18,160.19,14.9,41.0,2.06
,2025-01-19 05:11:38,5.0,114.17,145.4,10.9,50.0,2.06
,2025-01-19 10:11:38,5.0,173.73,234.52,21.9,28.0,4.12
,2025-01-19 15:11:38,5.0,184.9,236.84,25.9,15.0,4.12
,2025-01-19 20:11:38,5.0,181.18,238.48,18.9,30.0,2.06
,2025-01-20 01:11:38,5.0,143.7,195.89,16.9,34.0,2.06
,2025-01-20 06:11:38,5.0,165.83,211.37,17.2,29.0,3.89
,2025-01-20 11:11:38,5.0,151.81,193.87,23.9,23.0,4.63
,2025-01-20 16:11:38,5.0,297.34,365.24,26.9,16.0,2.06
,2025-01-20 21:11:38,5.0,465.5,548.55,17.9,34.0,2.06
,2025-01-21 02:11:38,5.0,293.47,357.53,12.9,47.0,1.54
,2025-01-21 07:11:38,5.0,351.27,409.06,11.9,58.0,2.06
,2025-01-21 12:11:38,5.0,598.55,699.72,24.9,31.0,2.57
,2025-01-21 17:11:38,5.0,193.07,232.67,22.9,49.0,3.09
,2025-01-21 22:11:38,5.0,86.55,113.76,18.9,72.0,0.0
,2025-01-22 03:11:38,4.0,56.13,73.78,14.9,82.0,2.06
,2025-01-22 08:11:38,5.0,299.41,356.46,15.9,88.0,0.0
,2025-01-22 13:11:38,4.0,50.4,81.58,24.43,37.0,1.73
